bgeeGeneId	geneId	geneName	geneDescription	speciesId	geneBioTypeId	ensemblGene	geneMappedToGeneIdCount
216898	ENSLOCG00000001350		protein FAM83D-like [Source:NCBI gene;Acc:102684966]	7918	6	1	1
216899	ENSLOCG00000001351	pex5la	peroxisomal biogenesis factor 5-like a [Source:ZFIN;Acc:ZDB-GENE-070705-298]	7918	6	1	1
216900	ENSLOCG00000001352	alg9	ALG9 alpha-1,2-mannosyltransferase [Source:NCBI gene;Acc:102698586]	7918	6	1	1
216901	ENSLOCG00000001353	rev1	REV1 DNA directed polymerase [Source:ZFIN;Acc:ZDB-GENE-081105-180]	7918	6	1	1
216902	ENSLOCG00000001354		tubulin alpha-3 chain-like [Source:NCBI gene;Acc:102684903]	7918	6	1	1
216903	ENSLOCG00000001355		cyclic GMP-AMP synthase-like [Source:NCBI gene;Acc:107076494]	7918	6	1	1
216904	ENSLOCG00000001356	pdhx	pyruvate dehydrogenase complex component X [Source:NCBI gene;Acc:102682612]	7918	6	1	1
216905	ENSLOCG00000001357	si:ch211-133l5.8	si:ch211-133l5.8 [Source:ZFIN;Acc:ZDB-GENE-081104-118]	7918	6	1	1
216906	ENSLOCG00000001358			7918	6	1	1
216907	ENSLOCG00000001359	tmem184a	transmembrane protein 184A [Source:NCBI gene;Acc:102697637]	7918	6	1	1
216908	ENSLOCG00000001360	gxylt1b	glucoside xylosyltransferase 1b [Source:NCBI gene;Acc:556315]	7918	6	1	1
216909	ENSLOCG00000001361	TMED6	transmembrane p24 trafficking protein 6 [Source:NCBI gene;Acc:102688074]	7918	6	1	1
216910	ENSLOCG00000001362	nagk	N-acetylglucosamine kinase [Source:ZFIN;Acc:ZDB-GENE-070928-19]	7918	6	1	1
216911	ENSLOCG00000001363		immunoglobulin heavy variable 9-2 [Source:ZFIN;Acc:ZDB-GENE-040514-31]	7918	6	1	1
216912	ENSLOCG00000001364	fermt3b	fermitin family member 3b [Source:ZFIN;Acc:ZDB-GENE-040426-1366]	7918	6	1	1
216913	ENSLOCG00000001365			7918	6	1	1
216914	ENSLOCG00000001366		LIM homeobox transcription factor 1-alpha-like [Source:NCBI gene;Acc:102690618]	7918	6	1	1
216915	ENSLOCG00000001367	fzr1a	fizzy/cell division cycle 20 related 1a [Source:ZFIN;Acc:ZDB-GENE-040426-712]	7918	6	1	1
216916	ENSLOCG00000001368		Lipoxygenase domain-containing protein	7918	6	1	1
216917	ENSLOCG00000001369	orc4	origin recognition complex subunit 4 [Source:NCBI gene;Acc:102685260]	7918	6	1	1
216918	ENSLOCG00000001370	yaf2	YY1 associated factor 2 [Source:NCBI gene;Acc:102689568]	7918	6	1	1
216919	ENSLOCG00000001371	pde6d	phosphodiesterase 6D [Source:NCBI gene;Acc:102685680]	7918	6	1	1
216920	ENSLOCG00000001372	ift52	intraflagellar transport 52 [Source:NCBI gene;Acc:102685012]	7918	6	1	1
216921	ENSLOCG00000001373	macrod1	mono-ADP ribosylhydrolase 1 [Source:ZFIN;Acc:ZDB-GENE-040912-100]	7918	6	1	1
216922	ENSLOCG00000001374		Tubulin domain-containing protein	7918	6	1	1
216923	ENSLOCG00000001375			7918	6	1	1
216924	ENSLOCG00000001376	nfyc	nuclear transcription factor Y subunit gamma [Source:NCBI gene;Acc:102695333]	7918	6	1	1
216925	ENSLOCG00000001377		Ig-like domain-containing protein	7918	6	1	1
216926	ENSLOCG00000001378		CD44 antigen	7918	6	1	1
216927	ENSLOCG00000001379	nip7	nucleolar pre-rRNA processing protein NIP7 [Source:NCBI gene;Acc:102686649]	7918	6	1	1
216928	ENSLOCG00000001380		Mitsugumin-53	7918	6	1	1
216929	ENSLOCG00000001381	gapvd1	GTPase activating protein and VPS9 domains 1 [Source:ZFIN;Acc:ZDB-GENE-040718-117]	7918	6	1	1
216930	ENSLOCG00000001382	psmg3	proteasome (prosome, macropain) assembly chaperone 3 [Source:ZFIN;Acc:ZDB-GENE-040718-262]	7918	6	1	1
216931	ENSLOCG00000001383	ctnnb1	catenin beta 1 [Source:NCBI gene;Acc:102698963]	7918	6	1	1
216932	ENSLOCG00000001384			7918	6	1	1
216933	ENSLOCG00000001385	comp	cartilage oligomeric matrix protein [Source:ZFIN;Acc:ZDB-GENE-060606-1]	7918	6	1	1
216934	ENSLOCG00000001386	pcsk1	proprotein convertase subtilisin/kexin type 1 [Source:ZFIN;Acc:ZDB-GENE-071009-1]	7918	6	1	1
216935	ENSLOCG00000001387		uncharacterized LOC107079724 [Source:NCBI gene;Acc:107079724]	7918	6	1	1
216936	ENSLOCG00000001388	slc1a2a	solute carrier family 1 member 2 [Source:NCBI gene;Acc:102682813]	7918	6	1	1
216937	ENSLOCG00000001389	PHB2	prohibitin 2 [Source:NCBI gene;Acc:102697247]	7918	6	1	1
216938	ENSLOCG00000001390		Ig-like domain-containing protein	7918	6	1	1
216939	ENSLOCG00000001391	rabgef1	RAB guanine nucleotide exchange factor 1 [Source:NCBI gene;Acc:102687054]	7918	6	1	1
216940	ENSLOCG00000001392	tmprss2	transmembrane serine protease 2 [Source:NCBI gene;Acc:102686194]	7918	6	1	1
216941	ENSLOCG00000001393	mad1l1	mitotic arrest deficient 1 like 1 [Source:NCBI gene;Acc:102685145]	7918	6	1	1
216942	ENSLOCG00000001394			7918	6	1	1
216943	ENSLOCG00000001395		uncharacterized LOC107075490 [Source:NCBI gene;Acc:107075490]	7918	6	1	1
216944	ENSLOCG00000001396	LAMA3	laminin subunit alpha 3 [Source:NCBI gene;Acc:102696521]	7918	6	1	1
216945	ENSLOCG00000001397	sgk2a	serum/glucocorticoid regulated kinase 2a [Source:ZFIN;Acc:ZDB-GENE-030131-9632]	7918	6	1	1
216946	ENSLOCG00000001398	cog8	component of oligomeric golgi complex 8 [Source:NCBI gene;Acc:102688277]	7918	6	1	1
216947	ENSLOCG00000001399	rims3	regulating synaptic membrane exocytosis 3 [Source:ZFIN;Acc:ZDB-GENE-060503-788]	7918	6	1	1
216948	ENSLOCG00000001400	cmtm8b	CKLF like MARVEL transmembrane domain containing 8 [Source:NCBI gene;Acc:102694880]	7918	6	1	1
216949	ENSLOCG00000001401			7918	6	1	1
216950	ENSLOCG00000001402	rabl6a	RAB, member RAS oncogene family-like 6b [Source:ZFIN;Acc:ZDB-GENE-081104-97]	7918	6	1	1
216951	ENSLOCG00000001403	fdxacb1	ferredoxin-fold anticodon binding domain containing 1 [Source:NCBI gene;Acc:107075605]	7918	6	1	1
216952	ENSLOCG00000001404	selp	selectin E [Source:HGNC Symbol;Acc:HGNC:10718]	7918	6	1	1
216953	ENSLOCG00000001405	EIF5B	eukaryotic translation initiation factor 5B [Source:HGNC Symbol;Acc:HGNC:30793]	7918	6	1	1
216954	ENSLOCG00000001406			7918	6	1	1
216955	ENSLOCG00000001407	ighv9-2	immunoglobulin heavy variable 9-2 [Source:ZFIN;Acc:ZDB-GENE-040514-31]	7918	6	1	1
216956	ENSLOCG00000001408			7918	6	1	1
216957	ENSLOCG00000001409	zcrb1	zinc finger CCHC-type and RNA binding motif containing 1 [Source:NCBI gene;Acc:102689906]	7918	6	1	1
216958	ENSLOCG00000001410	cmtm7	CKLF-like MARVEL transmembrane domain containing 7 [Source:ZFIN;Acc:ZDB-GENE-041111-174]	7918	6	1	1
216959	ENSLOCG00000001411	nob1	NIN1 (RPN12) binding protein 1 homolog [Source:NCBI gene;Acc:102686986]	7918	6	1	1
216960	ENSLOCG00000001412		Tachylectin domain-containing protein	7918	6	1	1
216961	ENSLOCG00000001413	ptmaa	prothymosin alpha a [Source:NCBI gene;Acc:335707]	7918	6	1	1
216962	ENSLOCG00000001414	l3mbtl1a	L3MBTL histone methyl-lysine binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-090312-120]	7918	6	1	1
216963	ENSLOCG00000001415		globoside alpha-1,3-N-acetylgalactosaminyltransferase 1-like [Source:NCBI gene;Acc:102685500]	7918	6	1	1
216964	ENSLOCG00000001416	slc5a1	solute carrier family 5 member 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1524]	7918	6	1	1
216965	ENSLOCG00000001417	mbd5	methyl-CpG binding domain protein 5 [Source:ZFIN;Acc:ZDB-GENE-070209-125]	7918	6	1	1
216966	ENSLOCG00000001418	mia	MIA SH3 domain containing [Source:ZFIN;Acc:ZDB-GENE-081022-66]	7918	6	1	1
216967	ENSLOCG00000001419	smap2	small ArfGAP2 [Source:ZFIN;Acc:ZDB-GENE-060503-374]	7918	6	1	1
216968	ENSLOCG00000001420	unm_sa808	TNF receptor-associated factor 2-like [Source:NCBI gene;Acc:102695888]	7918	6	1	1
216969	ENSLOCG00000001421	CRTC1	CREB regulated transcription coactivator 1a [Source:ZFIN;Acc:ZDB-GENE-061027-225]	7918	6	1	1
216970	ENSLOCG00000001422	kctd7	potassium channel tetramerization domain containing 7 [Source:NCBI gene;Acc:102687388]	7918	6	1	1
216971	ENSLOCG00000001423	si:dkey-51e6.1	14 kDa phosphohistidine phosphatase-like [Source:NCBI gene;Acc:102685255]	7918	6	1	1
216972	ENSLOCG00000001424		Protein tweety homolog	7918	6	1	1
216973	ENSLOCG00000001425			7918	6	1	1
216974	ENSLOCG00000001426	pamr1	peptidase domain containing associated with muscle regeneration 1 [Source:NCBI gene;Acc:102685781]	7918	6	1	1
216975	ENSLOCG00000001427	dlg1	discs large MAGUK scaffold protein 1 [Source:NCBI gene;Acc:102685881]	7918	6	1	1
216976	ENSLOCG00000001428	dok1b	docking protein 1 [Source:NCBI gene;Acc:102682699]	7918	6	1	1
216977	ENSLOCG00000001429	CMTM6	CKLF like MARVEL transmembrane domain containing 6 [Source:NCBI gene;Acc:102695278]	7918	6	1	1
216978	ENSLOCG00000001430	wdr59	WD repeat domain 59 [Source:ZFIN;Acc:ZDB-GENE-120215-187]	7918	6	1	1
216979	ENSLOCG00000001431	mrm2	mitochondrial rRNA methyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-5205]	7918	6	1	1
216980	ENSLOCG00000001432	ell2	elongation factor, RNA polymerase II, 2 [Source:ZFIN;Acc:ZDB-GENE-030131-1717]	7918	6	1	1
216981	ENSLOCG00000001433		Tachylectin domain-containing protein	7918	6	1	1
216982	ENSLOCG00000001434	txndc9	thioredoxin domain containing 9 [Source:NCBI gene;Acc:102691638]	7918	6	1	1
216983	ENSLOCG00000001435	C11orf1	chromosome LG26 open reading frame, human C11orf1 [Source:NCBI gene;Acc:102698990]	7918	6	1	1
216984	ENSLOCG00000001436	si:dkey-97o5.1	chromosome LG10 open reading frame, human C1orf112 [Source:NCBI gene;Acc:102691023]	7918	6	1	1
216985	ENSLOCG00000001437	epc2	enhancer of polycomb homolog 2 [Source:NCBI gene;Acc:102685461]	7918	6	1	1
216986	ENSLOCG00000001438	tnc	tenascin C [Source:ZFIN;Acc:ZDB-GENE-980526-104]	7918	6	1	1
216987	ENSLOCG00000001439	caspbl	caspase 1 [Source:NCBI gene;Acc:102696999]	7918	6	1	1
216988	ENSLOCG00000001440	FAM3B	FAM3 metabolism regulating signaling molecule B [Source:NCBI gene;Acc:102686602]	7918	6	1	1
216989	ENSLOCG00000001441	col9a2	collagen type IX alpha 2 chain [Source:NCBI gene;Acc:102683039]	7918	6	1	1
216990	ENSLOCG00000001442		serine and arginine rich splicing factor 6 [Source:NCBI gene;Acc:102694509]	7918	6	1	1
216991	ENSLOCG00000001443	dync1li1	dynein cytoplasmic 1 light intermediate chain 1 [Source:NCBI gene;Acc:102695474]	7918	6	1	1
216992	ENSLOCG00000001444	m1ap	meiosis 1 associated protein [Source:NCBI gene;Acc:102682898]	7918	6	1	1
216993	ENSLOCG00000001445		phospholipase D3-like [Source:NCBI gene;Acc:102685022]	7918	6	1	1
216994	ENSLOCG00000001446			7918	6	1	1
216995	ENSLOCG00000001447	nudt1	nudix hydrolase 1 [Source:NCBI gene;Acc:102698031]	7918	6	1	1
216996	ENSLOCG00000001448	pphln1	periphilin 1 [Source:NCBI gene;Acc:102692319]	7918	6	1	1
216997	ENSLOCG00000001449	utp3	UTP3 small subunit processome component [Source:ZFIN;Acc:ZDB-GENE-040912-163]	7918	6	1	1
216998	ENSLOCG00000001450			7918	6	1	1
216999	ENSLOCG00000001451	cryabb	crystallin alpha B [Source:NCBI gene;Acc:102689150]	7918	6	1	1
217000	ENSLOCG00000001452	mrpl30	mitochondrial ribosomal protein L30 [Source:NCBI gene;Acc:102683758]	7918	6	1	1
217001	ENSLOCG00000001453	si:dkey-6b12.5	si:dkey-6b12.5 [Source:ZFIN;Acc:ZDB-GENE-091204-190]	7918	6	1	1
217002	ENSLOCG00000001454	EPB41L1	erythrocyte membrane protein band 4.1 like 1 [Source:HGNC Symbol;Acc:HGNC:3378]	7918	6	1	1
217003	ENSLOCG00000001455	bace2	beta-secretase 2 [Source:NCBI gene;Acc:102686808]	7918	6	1	1
217004	ENSLOCG00000001456			7918	6	1	1
217005	ENSLOCG00000001457	klhl26	kelch like family member 26 [Source:NCBI gene;Acc:102687792]	7918	6	1	1
217006	ENSLOCG00000001458	CFAP20	cilia- and flagella-associated protein 20-like [Source:NCBI gene;Acc:102687389]	7918	6	1	1
217007	ENSLOCG00000001459	snx8b	sorting nexin 8 [Source:NCBI gene;Acc:102685548]	7918	6	1	1
217008	ENSLOCG00000001460	prickle1a	prickle planar cell polarity protein 1 [Source:NCBI gene;Acc:102690107]	7918	6	1	1
217009	ENSLOCG00000001461	zgc:113162	dual specificity testis-specific protein kinase 1-like [Source:NCBI gene;Acc:102696289]	7918	6	1	1
217010	ENSLOCG00000001462	LDLRAD3	low density lipoprotein receptor class A domain containing 3 [Source:HGNC Symbol;Acc:HGNC:27046]	7918	6	1	1
217011	ENSLOCG00000001463	hspb2	heat shock protein family B (small) member 2 [Source:NCBI gene;Acc:102699184]	7918	6	1	1
217012	ENSLOCG00000001464	syvn1	synovial apoptosis inhibitor 1, synoviolin [Source:NCBI gene;Acc:335226]	7918	6	1	1
217013	ENSLOCG00000001465		Transferrin-like domain-containing protein	7918	6	1	1
217014	ENSLOCG00000001466		t-SNARE coiled-coil homology domain-containing protein	7918	6	1	1
217015	ENSLOCG00000001467	rfesd	Rieske (Fe-S) domain containing [Source:ZFIN;Acc:ZDB-GENE-050417-254]	7918	6	1	1
217016	ENSLOCG00000001468	KIF5C	kinesin family member 5C [Source:HGNC Symbol;Acc:HGNC:6325]	7918	6	1	1
217017	ENSLOCG00000001469	MLKL	mixed lineage kinase domain like pseudokinase [Source:NCBI gene;Acc:102687595]	7918	6	1	1
217018	ENSLOCG00000001470		inhibin beta B chain-like [Source:NCBI gene;Acc:102697185]	7918	6	1	1
217019	ENSLOCG00000001471	dscamb	Down syndrome cell adhesion molecule b [Source:ZFIN;Acc:ZDB-GENE-031118-67]	7918	6	1	1
217020	ENSLOCG00000001472			7918	6	1	1
217021	ENSLOCG00000001473	COL16A1	collagen type XVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2193]	7918	6	1	1
217022	ENSLOCG00000001474	cpne4b	copine 4 [Source:NCBI gene;Acc:102699155]	7918	6	1	1
217023	ENSLOCG00000001475	dixdc1a	DIX domain containing 1a [Source:NCBI gene;Acc:360137]	7918	6	1	1
217024	ENSLOCG00000001476	SEMA4F	ssemaphorin 4F [Source:NCBI gene;Acc:102683100]	7918	6	1	1
217025	ENSLOCG00000001477	pisd	phosphatidylserine decarboxylase [Source:NCBI gene;Acc:102698858]	7918	6	1	1
217026	ENSLOCG00000001478	cts12	cathepsin 12 [Source:ZFIN;Acc:ZDB-GENE-050208-336]	7918	6	1	1
217027	ENSLOCG00000001479	mitd1	microtubule interacting and trafficking domain containing 1 [Source:NCBI gene;Acc:102683959]	7918	6	1	1
217028	ENSLOCG00000001480	rpn2	ribophorin II [Source:NCBI gene;Acc:102685828]	7918	6	1	1
217029	ENSLOCG00000001481			7918	6	1	1
217030	ENSLOCG00000001482	scyl3	SCY1 like pseudokinase 3 [Source:NCBI gene;Acc:102691220]	7918	6	1	1
217031	ENSLOCG00000001483		IQ motif containing E [Source:NCBI gene;Acc:107078914]	7918	6	1	1
217032	ENSLOCG00000001484		interferon alpha-inducible protein 27-like protein 2A [Source:NCBI gene;Acc:102686519]	7918	6	1	1
217033	ENSLOCG00000001485	bud23	BUD23 rRNA methyltransferase and ribosome maturation factor [Source:NCBI gene;Acc:102687594]	7918	6	1	1
217034	ENSLOCG00000001486	dpp7	dipeptidyl peptidase 7 [Source:NCBI gene;Acc:102690439]	7918	6	1	1
217035	ENSLOCG00000001487		interleukin 12 receptor subunit beta 1 [Source:NCBI gene;Acc:107079633]	7918	6	1	1
217036	ENSLOCG00000001488		RNAse_Pc domain-containing protein	7918	6	1	1
217037	ENSLOCG00000001489	rfwd3	ring finger and WD repeat domain 3 [Source:NCBI gene;Acc:102688485]	7918	6	1	1
217038	ENSLOCG00000001490		calpain-1 catalytic subunit-like [Source:NCBI gene;Acc:102685634]	7918	6	1	1
217039	ENSLOCG00000001491		ras-related and estrogen-regulated growth inhibitor-like [Source:NCBI gene;Acc:102683012]	7918	6	1	1
217040	ENSLOCG00000001492	arsk	arylsulfatase family, member K [Source:NCBI gene;Acc:562412]	7918	6	1	1
217041	ENSLOCG00000001493	meltf	melanotransferrin [Source:NCBI gene;Acc:102697447]	7918	6	1	1
217042	ENSLOCG00000001494		Retrotrans_gag domain-containing protein	7918	6	1	1
217043	ENSLOCG00000001495			7918	6	1	1
217044	ENSLOCG00000001496		GLUCAGON domain-containing protein	7918	6	1	1
217045	ENSLOCG00000001497		Ig-like domain-containing protein	7918	6	1	1
217046	ENSLOCG00000001498	mast3a	microtubule associated serine/threonine kinase 3a [Source:ZFIN;Acc:ZDB-GENE-040914-35]	7918	6	1	1
217047	ENSLOCG00000001499	dlat	dihydrolipoamide S-acetyltransferase [Source:NCBI gene;Acc:102689355]	7918	6	1	1
217048	ENSLOCG00000001500	tsga10	testis specific, 10 [Source:ZFIN;Acc:ZDB-GENE-061013-482]	7918	6	1	1
217049	ENSLOCG00000001501	mrpl21	mitochondrial ribosomal protein L21 [Source:NCBI gene;Acc:102686588]	7918	6	1	1
217050	ENSLOCG00000001502	prg4a	proteoglycan 4a [Source:ZFIN;Acc:ZDB-GENE-030131-8295]	7918	6	1	1
217051	ENSLOCG00000001503		Kinesin light chain	7918	6	1	1
217052	ENSLOCG00000001504	ttc37	tetratricopeptide repeat domain 37 [Source:ZFIN;Acc:ZDB-GENE-110125-2]	7918	6	1	1
217053	ENSLOCG00000001505	CDK5RAP1	CDK5 regulatory subunit associated protein 1 [Source:NCBI gene;Acc:102686235]	7918	6	1	1
217054	ENSLOCG00000001506	glg1b	golgi glycoprotein 1 [Source:NCBI gene;Acc:102688686]	7918	6	1	1
217055	ENSLOCG00000001507	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20 [Source:NCBI gene;Acc:102692726]	7918	6	1	1
217056	ENSLOCG00000001508		DUF4515 domain-containing protein	7918	6	1	1
217057	ENSLOCG00000001509			7918	6	1	1
217058	ENSLOCG00000001510	SH2B2	SH2B adaptor protein 2 [Source:NCBI gene;Acc:102687796]	7918	6	1	1
217059	ENSLOCG00000001511		kelch-like protein 9 [Source:NCBI gene;Acc:102685565]	7918	6	1	1
217060	ENSLOCG00000001512	ighmbp2	immunoglobulin mu DNA binding protein 2 [Source:NCBI gene;Acc:102686797]	7918	6	1	1
217061	ENSLOCG00000001513	EIF4ENIF1	eukaryotic translation initiation factor 4E nuclear import factor 1 [Source:HGNC Symbol;Acc:HGNC:16687]	7918	6	1	1
217062	ENSLOCG00000001514	mrpl3	mitochondrial ribosomal protein L3 [Source:NCBI gene;Acc:102695670]	7918	6	1	1
217063	ENSLOCG00000001515	pacs1a	phosphofurin acidic cluster sorting protein 1a [Source:ZFIN;Acc:ZDB-GENE-050208-244]	7918	6	1	1
217064	ENSLOCG00000001516	tprb	translocated promoter region b, nuclear basket protein [Source:ZFIN;Acc:ZDB-GENE-030131-6410]	7918	6	1	1
217065	ENSLOCG00000001517		Ig-like domain-containing protein	7918	6	1	1
217066	ENSLOCG00000001518	ncbp2	nuclear cap binding protein subunit 2 [Source:NCBI gene;Acc:102697833]	7918	6	1	1
217067	ENSLOCG00000001519	pik3r2	phosphoinositide-3-kinase regulatory subunit 2 [Source:NCBI gene;Acc:102687995]	7918	6	1	1
217068	ENSLOCG00000001520		KIAA1211 like [Source:NCBI gene;Acc:102684562]	7918	6	1	1
217069	ENSLOCG00000001521	si:dkey-183c6.8	si:dkey-183c6.8 [Source:ZFIN;Acc:ZDB-GENE-160728-23]	7918	6	1	1
217070	ENSLOCG00000001522	man1b1b	mannosidase, alpha, class 1B, member 1b [Source:ZFIN;Acc:ZDB-GENE-070705-482]	7918	6	1	1
217071	ENSLOCG00000001523	ankrd29	ankyrin repeat domain 29 [Source:NCBI gene;Acc:102696914]	7918	6	1	1
217072	ENSLOCG00000001524	ppcs	phosphopantothenoylcysteine synthetase [Source:NCBI gene;Acc:102690568]	7918	6	1	1
217073	ENSLOCG00000001525	TMEM233	transmembrane protein 233 [Source:NCBI gene;Acc:102688537]	7918	6	1	1
217074	ENSLOCG00000001526	pih1d2	PIH1 domain containing 2 [Source:NCBI gene;Acc:102682470]	7918	6	1	1
217075	ENSLOCG00000001527			7918	6	1	1
217076	ENSLOCG00000001528	syt12	synaptotagmin 12 [Source:NCBI gene;Acc:102683216]	7918	6	1	1
217077	ENSLOCG00000001529	SENP5	SUMO specific peptidase 5 [Source:NCBI gene;Acc:102698033]	7918	6	1	1
217078	ENSLOCG00000001530	ttyh3a	tweety family member 3a [Source:ZFIN;Acc:ZDB-GENE-120508-1]	7918	6	1	1
217079	ENSLOCG00000001531	cux1a	cut-like homeobox 1a [Source:ZFIN;Acc:ZDB-GENE-030131-5868]	7918	6	1	1
217080	ENSLOCG00000001532	npc1	NPC intracellular cholesterol transporter 1 [Source:NCBI gene;Acc:102697104]	7918	6	1	1
217081	ENSLOCG00000001533	prkab1b	protein kinase, AMP-activated, beta 1 non-catalytic subunit, b [Source:ZFIN;Acc:ZDB-GENE-030131-7172]	7918	6	1	1
217082	ENSLOCG00000001534		BPI fold containing family B member 2 [Source:NCBI gene;Acc:102686441]	7918	6	1	1
217083	ENSLOCG00000001535	creg2	cellular repressor of E1A stimulated genes 2 [Source:NCBI gene;Acc:102684753]	7918	6	1	1
217084	ENSLOCG00000001536	lypd6b	LY6/PLAUR domain containing 6B [Source:ZFIN;Acc:ZDB-GENE-050522-38]	7918	6	1	1
217085	ENSLOCG00000001537		Hexosyltransferase	7918	6	1	1
217086	ENSLOCG00000001538	ZMYND12	zinc finger MYND-type containing 12 [Source:NCBI gene;Acc:102690774]	7918	6	1	1
217087	ENSLOCG00000001539	mob2a	MOB kinase activator 2 [Source:NCBI gene;Acc:102687194]	7918	6	1	1
217088	ENSLOCG00000001540	zgc:162339	NKAP domain containing 1 [Source:NCBI gene;Acc:102682677]	7918	6	1	1
217089	ENSLOCG00000001541	zdhhc24	zinc finger DHHC-type containing 24 [Source:NCBI gene;Acc:102686451]	7918	6	1	1
217090	ENSLOCG00000001542			7918	6	1	1
217091	ENSLOCG00000001543	FAM81B	family with sequence similarity 81 member B [Source:NCBI gene;Acc:102687126]	7918	6	1	1
217092	ENSLOCG00000001544	si:dkey-61l1.4	si:dkey-61l1.4 [Source:ZFIN;Acc:ZDB-GENE-070705-483]	7918	6	1	1
217093	ENSLOCG00000001545	nek11	NIMA-related kinase 11 [Source:ZFIN;Acc:ZDB-GENE-100922-73]	7918	6	1	1
217094	ENSLOCG00000001546	lypd6	LY6/PLAUR domain containing 6 [Source:NCBI gene;Acc:102686632]	7918	6	1	1
217095	ENSLOCG00000001547	SPEF1	sperm flagellar 1 [Source:NCBI gene;Acc:102683916]	7918	6	1	1
217096	ENSLOCG00000001548	pcp4a	Purkinje cell protein 4 [Source:NCBI gene;Acc:102687206]	7918	6	1	1
217097	ENSLOCG00000001549	mgat4a	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:NCBI gene;Acc:102691838]	7918	6	1	1
217098	ENSLOCG00000001550	tmem38a	transmembrane protein 38A [Source:NCBI gene;Acc:102688198]	7918	6	1	1
217099	ENSLOCG00000001551	PDPR	pyruvate dehydrogenase phosphatase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:30264]	7918	6	1	1
217100	ENSLOCG00000001552	prex1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 [Source:NCBI gene;Acc:102686643]	7918	6	1	1
217101	ENSLOCG00000001553	odr4	odr-4 GPCR localization factor homolog [Source:ZFIN;Acc:ZDB-GENE-080502-1]	7918	6	1	1
217102	ENSLOCG00000001554	anos1b	anosmin-1-like [Source:NCBI gene;Acc:102698234]	7918	6	1	1
217103	ENSLOCG00000001555		Ion_trans domain-containing protein	7918	6	1	1
217104	ENSLOCG00000001556			7918	6	1	1
217105	ENSLOCG00000001557	mctp1b	multiple C2 and transmembrane domain containing 1 [Source:NCBI gene;Acc:102695376]	7918	6	1	1
217106	ENSLOCG00000001558	pdgfaa	platelet derived growth factor subunit A [Source:NCBI gene;Acc:102685958]	7918	6	1	1
217107	ENSLOCG00000001559	cadm3	cell adhesion molecule 3 [Source:ZFIN;Acc:ZDB-GENE-060512-196]	7918	6	1	1
217108	ENSLOCG00000001560	ubash3ba	ubiquitin associated and SH3 domain containing B [Source:NCBI gene;Acc:102689563]	7918	6	1	1
217109	ENSLOCG00000001561	zgc:92335	metabolism of cobalamin associated D [Source:NCBI gene;Acc:102686838]	7918	6	1	1
217110	ENSLOCG00000001562	rimkla	ribosomal modification protein rimK like family member A [Source:NCBI gene;Acc:102687393]	7918	6	1	1
217111	ENSLOCG00000001563	adgrb2	adhesion G protein-coupled receptor B2 [Source:ZFIN;Acc:ZDB-GENE-060503-573]	7918	6	1	1
217112	ENSLOCG00000001564	cita	citron rho-interacting serine/threonine kinase a [Source:ZFIN;Acc:ZDB-GENE-130530-981]	7918	6	1	1
217113	ENSLOCG00000001565	ASTE1	asteroid homolog 1 [Source:NCBI gene;Acc:102696065]	7918	6	1	1
217114	ENSLOCG00000001566	MED26	mediator complex subunit 26 [Source:NCBI gene;Acc:102688405]	7918	6	1	1
217115	ENSLOCG00000001567	dusp8a	dual specificity phosphatase 8 [Source:NCBI gene;Acc:102683417]	7918	6	1	1
217116	ENSLOCG00000001568		fibulin-7-like [Source:NCBI gene;Acc:102689088]	7918	6	1	1
217117	ENSLOCG00000001569		myosin regulatory light chain 2B, cardiac muscle isoform [Source:NCBI gene;Acc:102688000]	7918	6	1	1
217118	ENSLOCG00000001570	prkd4	protein kinase D4 [Source:ZFIN;Acc:ZDB-GENE-080204-93]	7918	6	1	1
217119	ENSLOCG00000001571	sh3bgr	SH3 domain binding glutamate-rich protein [Source:ZFIN;Acc:ZDB-GENE-040801-27]	7918	6	1	1
217120	ENSLOCG00000001572	prkar1b	protein kinase cAMP-dependent type I regulatory subunit beta [Source:NCBI gene;Acc:102698232]	7918	6	1	1
217121	ENSLOCG00000001573	rnd3b	Rho family GTPase 3 [Source:NCBI gene;Acc:102685674]	7918	6	1	1
217122	ENSLOCG00000001574	atp2c1	ATPase secretory pathway Ca2+ transporting 1 [Source:NCBI gene;Acc:102682244]	7918	6	1	1
217123	ENSLOCG00000001575	FOXJ3	forkhead box J3 [Source:HGNC Symbol;Acc:HGNC:29178]	7918	6	1	1
217124	ENSLOCG00000001576	slc35e1	solute carrier family 35 member E1 [Source:NCBI gene;Acc:102688614]	7918	6	1	1
217125	ENSLOCG00000001577	ptpn5	protein tyrosine phosphatase non-receptor type 5 [Source:ZFIN;Acc:ZDB-GENE-101028-3]	7918	6	1	1
