9986	9031	9606	9544	10116	10090
ENSOCUG00000005308	ENSGALG00000045642	ENSG00000141655	ENSMMUG00000002210	ENSRNOG00000015615	ENSMUSG00000026321
ENSOCUG00000005310	ENSGALG00000013272	ENSG00000111218	ENSMMUG00000014168	ENSRNOG00000053804	ENSMUSG00000030350
ENSOCUG00000005312	ENSGALG00000002253	ENSG00000114735	ENSMMUG00000010498	ENSRNOG00000015458	ENSMUSG00000032579
ENSOCUG00000005313	ENSGALG00000009525	ENSG00000128708	ENSMMUG00000007313	ENSRNOG00000001524	ENSMUSG00000027018
ENSOCUG00000005315	ENSGALG00000012775	ENSG00000137203	ENSMMUG00000006186	ENSRNOG00000015522	ENSMUSG00000021359
ENSOCUG00000005316	ENSGALG00000002283	ENSG00000114738	ENSMMUG00000010495	ENSRNOG00000014832	ENSMUSG00000032577
ENSOCUG00000005321	ENSGALG00000008055	ENSG00000019505	ENSMMUG00000011449	ENSRNOG00000008000	ENSMUSG00000027220
ENSOCUG00000005323	ENSGALG00000002144	ENSG00000054118	ENSMMUG00000014622	ENSRNOG00000009977	ENSMUSG00000043962
ENSOCUG00000005324	ENSGALG00000008425	ENSG00000166963	ENSMMUG00000007255	ENSRNOG00000014230	ENSMUSG00000027254
ENSOCUG00000005325	ENSGALG00000032925	ENSG00000196182	ENSMMUG00000016212	ENSRNOG00000025679	ENSMUSG00000042608
ENSOCUG00000005329	ENSGALG00000016491	ENSG00000084674	ENSMMUG00000007692	ENSRNOG00000005542	ENSMUSG00000020609
ENSOCUG00000005330	ENSGALG00000041417	ENSG00000196177	ENSMMUG00000000684	ENSRNOG00000020624	ENSMUSG00000030861
ENSOCUG00000005331	ENSGALG00000008023	ENSG00000177728	ENSMMUG00000022120	ENSRNOG00000004032	ENSMUSG00000020747
ENSOCUG00000005333	ENSGALG00000002127	ENSG00000181817	ENSMMUG00000017338	ENSRNOG00000068296	ENSMUSG00000050188
ENSOCUG00000005334	ENSGALG00000015876	ENSG00000118402	ENSMMUG00000020208	ENSRNOG00000009773	ENSMUSG00000032262
ENSOCUG00000005335	ENSGALG00000008474	ENSG00000138380	ENSMMUG00000006418	ENSRNOG00000017491	ENSMUSG00000026017
ENSOCUG00000005337	ENSGALG00000002123	ENSG00000116885	ENSMMUG00000020432	ENSRNOG00000026978	ENSMUSG00000042616
ENSOCUG00000005338	ENSGALG00000043172	ENSG00000177182	ENSMMUG00000008774	ENSRNOG00000006919	ENSMUSG00000041216
ENSOCUG00000005341	ENSGALG00000014933	ENSG00000049860	ENSMMUG00000019997	ENSRNOG00000025274	ENSMUSG00000021665
ENSOCUG00000005345	ENSGALG00000009170	ENSG00000144959	ENSMMUG00000056425	ENSRNOG00000013313	ENSMUSG00000027698
ENSOCUG00000005347	ENSGALG00000009032	ENSG00000140451	ENSMMUG00000006366	ENSRNOG00000015878	ENSMUSG00000041064
ENSOCUG00000005349	ENSGALG00000014939	ENSG00000164347	ENSMMUG00000019998	ENSRNOG00000025285	ENSMUSG00000021666
ENSOCUG00000005351	ENSGALG00000001157	ENSG00000119522	ENSMMUG00000006348	ENSRNOG00000010526	ENSMUSG00000035392
ENSOCUG00000005353	ENSGALG00000007252	ENSG00000166839	ENSMMUG00000010948	ENSRNOG00000015554	ENSMUSG00000066510
ENSOCUG00000005354	ENSGALG00000002624	ENSG00000165733	ENSMMUG00000007426	ENSRNOG00000006576	ENSMUSG00000030138
ENSOCUG00000005356	ENSGALG00000007667	ENSG00000151025	ENSMMUG00000002930	ENSRNOG00000024832	ENSMUSG00000045967
ENSOCUG00000005357	ENSGALG00000011855	ENSG00000126785	ENSMMUG00000008203	ENSRNOG00000021919	ENSMUSG00000046768
ENSOCUG00000005358	ENSGALG00000015616	ENSG00000172497	ENSMMUG00000020656	ENSRNOG00000061414	ENSMUSG00000021620
ENSOCUG00000005359	ENSGALG00000028839	ENSG00000179600	ENSMMUG00000059346	ENSRNOG00000021885	ENSMUSG00000048982
ENSOCUG00000005362	ENSGALG00000008208	ENSG00000166734	ENSMMUG00000006676	ENSRNOG00000016357	ENSMUSG00000060227
ENSOCUG00000005366	ENSGALG00000008199	ENSG00000137770	ENSMMUG00000016742	ENSRNOG00000022141	ENSMUSG00000033411
ENSOCUG00000005369	ENSGALG00000043352	ENSG00000090661	ENSMMUG00000011178	ENSRNOG00000001072	ENSMUSG00000008206
ENSOCUG00000005371	ENSGALG00000011200	ENSG00000186340	ENSMMUG00000051514	ENSRNOG00000010529	ENSMUSG00000023885
ENSOCUG00000005372	ENSGALG00000004496	ENSG00000145901	ENSMMUG00000021051	ENSRNOG00000010370	ENSMUSG00000020400
ENSOCUG00000005377	ENSGALG00000053601	ENSG00000110031	ENSMMUG00000011713	ENSRNOG00000012611	ENSMUSG00000024696
ENSOCUG00000005379	ENSGALG00000004357	ENSG00000197043	ENSMMUG00000021053	ENSRNOG00000010668	ENSMUSG00000018340
ENSOCUG00000005384	ENSGALG00000029001	ENSG00000196449	ENSMMUG00000005372	ENSRNOG00000025424	ENSMUSG00000028889
ENSOCUG00000005386	ENSGALG00000037955	ENSG00000164941	ENSMMUG00000005356	ENSRNOG00000008124	ENSMUSG00000040738
ENSOCUG00000005389	ENSGALG00000001639	ENSG00000188786	ENSMMUG00000023275	ENSRNOG00000025724	ENSMUSG00000028890
ENSOCUG00000005395	ENSGALG00000001606	ENSG00000204084	ENSMMUG00000023277	ENSRNOG00000048506	ENSMUSG00000028894
ENSOCUG00000005398	ENSGALG00000040794	ENSG00000175305	ENSMMUG00000005358	ENSRNOG00000008055	ENSMUSG00000028212
ENSOCUG00000005403	ENSGALG00000010618	ENSG00000152683	ENSMMUG00000030876	ENSRNOG00000005856	ENSMUSG00000024069
ENSOCUG00000005405	ENSGALG00000010672	ENSG00000152315	ENSMMUG00000011151	ENSRNOG00000047363	ENSMUSG00000045404
ENSOCUG00000005407	ENSGALG00000001540	ENSG00000183431	ENSMMUG00000023199	ENSRNOG00000007629	ENSMUSG00000028902
ENSOCUG00000005409	ENSGALG00000045246	ENSG00000173905	ENSMMUG00000020734	ENSRNOG00000024213	ENSMUSG00000034109
ENSOCUG00000005413	ENSGALG00000013874	ENSG00000112357	ENSMMUG00000016382	ENSRNOG00000012322	ENSMUSG00000020003
ENSOCUG00000005414	ENSGALG00000034768	ENSG00000089048	ENSMMUG00000062485	ENSRNOG00000004777	ENSMUSG00000045624
ENSOCUG00000005415	ENSGALG00000003042	ENSG00000101417	ENSMMUG00000023551	ENSRNOG00000016975	ENSMUSG00000000876
ENSOCUG00000005418	ENSGALG00000030545	ENSG00000182747	ENSMMUG00000055984	ENSRNOG00000012311	ENSMUSG00000050473
ENSOCUG00000005419	ENSGALG00000020729	ENSG00000101247	ENSMMUG00000012354	ENSRNOG00000004784	ENSMUSG00000027384
ENSOCUG00000005428	ENSGALG00000005857	ENSG00000012779	ENSMMUG00000013434	ENSRNOG00000012972	ENSMUSG00000025701
ENSOCUG00000005429	ENSGALG00000007357	ENSG00000113916	ENSMMUG00000009198	ENSRNOG00000001843	ENSMUSG00000022508
ENSOCUG00000005430	ENSGALG00000011570	ENSG00000143621	ENSMMUG00000008149	ENSRNOG00000014154	ENSMUSG00000001016
ENSOCUG00000005435	ENSGALG00000001445	ENSG00000170231	ENSMMUG00000023072	ENSRNOG00000003902	ENSMUSG00000020405
ENSOCUG00000005436	ENSGALG00000027046	ENSG00000143624	ENSMMUG00000019482	ENSRNOG00000015153	ENSMUSG00000027933
ENSOCUG00000005443	ENSGALG00000016858	ENSG00000125255	ENSMMUG00000007664	ENSRNOG00000037753	ENSMUSG00000023073
ENSOCUG00000005446	ENSGALG00000004663	ENSG00000124198	ENSMMUG00000019635	ENSRNOG00000007485	ENSMUSG00000074582
ENSOCUG00000005447	ENSGALG00000047559	ENSG00000166444	ENSMMUG00000021830	ENSRNOG00000013934	ENSMUSG00000031024
ENSOCUG00000005449	ENSGALG00000002189	ENSG00000028528	ENSMMUG00000014005	ENSRNOG00000017029	ENSMUSG00000032382
ENSOCUG00000005452	ENSGALG00000041918	ENSG00000165078	ENSMMUG00000023015	ENSRNOG00000005655	ENSMUSG00000042501
ENSOCUG00000005456	ENSGALG00000031350	ENSG00000152049	ENSMMUG00000001102	ENSRNOG00000071002	ENSMUSG00000047330
ENSOCUG00000005457	ENSGALG00000048178	ENSG00000143554	ENSMMUG00000019487	ENSRNOG00000015421	ENSMUSG00000027932
ENSOCUG00000005459	ENSGALG00000004707	ENSG00000124207	ENSMMUG00000019636	ENSRNOG00000007665	ENSMUSG00000002718
ENSOCUG00000005460	ENSGALG00000006052	ENSG00000114742	ENSMMUG00000020138	ENSRNOG00000016942	ENSMUSG00000032512
ENSOCUG00000005463	ENSGALG00000004500	ENSG00000143207	ENSMMUG00000059669	ENSRNOG00000042492	ENSMUSG00000040782
ENSOCUG00000005464	ENSGALG00000009973	ENSG00000138079	ENSMMUG00000006310	ENSRNOG00000007006	ENSMUSG00000024131
ENSOCUG00000005465	ENSGALG00000032957	ENSG00000151014	ENSMMUG00000004983	ENSRNOG00000010799	ENSMUSG00000023087
ENSOCUG00000005467	ENSGALG00000006033	ENSG00000114745	ENSMMUG00000020144	ENSRNOG00000018047	ENSMUSG00000032513
ENSOCUG00000005469	ENSGALG00000042878	ENSG00000152266	ENSMMUG00000054213	ENSRNOG00000014318	ENSMUSG00000059077
ENSOCUG00000005470	ENSGALG00000002690	ENSG00000090857	ENSMMUG00000023147	ENSRNOG00000022593	ENSMUSG00000033624
ENSOCUG00000005471	ENSGALG00000009981	ENSG00000138078	ENSMMUG00000006311	ENSRNOG00000007326	ENSMUSG00000024127
ENSOCUG00000005474	ENSGALG00000013968	ENSG00000163069	ENSMMUG00000018939	ENSRNOG00000002135	ENSMUSG00000029156
ENSOCUG00000005480	ENSGALG00000015122	ENSG00000141384	ENSMMUG00000016190	ENSRNOG00000026023	ENSMUSG00000054321
ENSOCUG00000005487	ENSGALG00000012865	ENSG00000157764	ENSMMUG00000042793	ENSRNOG00000010957	ENSMUSG00000002413
ENSOCUG00000005490	ENSGALG00000001034	ENSG00000131043	ENSMMUG00000020691	ENSRNOG00000020086	ENSMUSG00000027628
ENSOCUG00000005493	ENSGALG00000023439	ENSG00000204311	ENSMMUG00000054264	ENSRNOG00000038165	ENSMUSG00000075267
ENSOCUG00000005495	ENSGALG00000009135	ENSG00000116095	ENSMMUG00000002189	ENSRNOG00000011830	ENSMUSG00000002733
ENSOCUG00000005496	ENSGALG00000021158	ENSG00000021488	ENSMMUG00000028800	ENSRNOG00000012344	ENSMUSG00000030492
ENSOCUG00000005499	ENSGALG00000041037	ENSG00000137207	ENSMMUG00000023322	ENSRNOG00000018998	ENSMUSG00000071074
ENSOCUG00000005503	ENSGALG00000001942	ENSG00000040275	ENSMMUG00000009365	ENSRNOG00000007292	ENSMUSG00000069910
ENSOCUG00000005504	ENSGALG00000010349	ENSG00000171453	ENSMMUG00000015192	ENSRNOG00000019079	ENSMUSG00000067148
ENSOCUG00000005505	ENSGALG00000032628	ENSG00000277363	ENSMMUG00000005041	ENSRNOG00000011475	ENSMUSG00000038453
ENSOCUG00000005508	ENSGALG00000003165	ENSG00000108091	ENSMMUG00000018198	ENSRNOG00000024019	ENSMUSG00000048701
ENSOCUG00000005509	ENSGALG00000003424	ENSG00000162761	ENSMMUG00000006300	ENSRNOG00000004642	ENSMUSG00000026686
ENSOCUG00000005510	ENSGALG00000010341	ENSG00000124571	ENSMMUG00000015193	ENSRNOG00000019085	ENSMUSG00000067150
ENSOCUG00000005512	ENSGALG00000040730	ENSG00000143171	ENSMMUG00000002892	ENSRNOG00000004537	ENSMUSG00000015843
ENSOCUG00000005513	ENSGALG00000042148	ENSG00000096060	ENSMMUG00000011520	ENSRNOG00000022523	ENSMUSG00000024222
ENSOCUG00000005518	ENSGALG00000003443	ENSG00000162763	ENSMMUG00000015518	ENSRNOG00000004356	ENSMUSG00000040485
ENSOCUG00000005522	ENSGALG00000041327	ENSG00000147573	ENSMMUG00000021586	ENSRNOG00000012723	ENSMUSG00000060913
ENSOCUG00000005523	ENSGALG00000011414	ENSG00000139344	ENSMMUG00000009304	ENSRNOG00000005266	ENSMUSG00000015890
ENSOCUG00000005524	ENSGALG00000011436	ENSG00000135926	ENSMMUG00000022817	ENSRNOG00000014797	ENSMUSG00000006301
ENSOCUG00000005525	ENSGALG00000010317	ENSG00000170734	ENSMMUG00000008903	ENSRNOG00000019195	ENSMUSG00000023953
ENSOCUG00000005526	ENSGALG00000010201	ENSG00000164074	ENSMMUG00000020931	ENSRNOG00000013692	ENSMUSG00000037818
ENSOCUG00000005528	ENSGALG00000011421	ENSG00000084110	ENSMMUG00000009308	ENSRNOG00000004502	ENSMUSG00000020017
ENSOCUG00000005529	ENSGALG00000010315	ENSG00000172432	ENSMMUG00000008890	ENSRNOG00000019332	ENSMUSG00000023952
ENSOCUG00000005530	ENSGALG00000009322	ENSG00000143748	ENSMMUG00000022510	ENSRNOG00000003629	ENSMUSG00000026516
ENSOCUG00000005531	ENSGALG00000041993	ENSG00000109814	ENSMMUG00000001892	ENSRNOG00000002643	ENSMUSG00000029201
ENSOCUG00000005532	ENSGALG00000027871	ENSG00000124688	ENSMMUG00000059717	ENSRNOG00000019463	ENSMUSG00000034509
ENSOCUG00000005533	ENSGALG00000011009	ENSG00000136531	ENSMMUG00000002712	ENSRNOG00000005018	ENSMUSG00000075318
ENSOCUG00000005535	ENSGALG00000033709	ENSG00000111144	ENSMMUG00000009312	ENSRNOG00000004494	ENSMUSG00000015889
ENSOCUG00000005537	ENSGALG00000010299	ENSG00000172426	ENSMMUG00000053865	ENSRNOG00000019474	ENSMUSG00000023966
ENSOCUG00000005539	ENSGALG00000051904	ENSG00000169992	ENSMMUG00000055083	ENSRNOG00000015430	ENSMUSG00000051790
ENSOCUG00000005541	ENSGALG00000006121	ENSG00000011405	ENSMMUG00000022548	ENSRNOG00000020479	ENSMUSG00000030660
ENSOCUG00000005543	ENSGALG00000035472	ENSG00000188994	ENSMMUG00000022458	ENSRNOG00000031031	ENSMUSG00000039967
ENSOCUG00000005544	ENSGALG00000010296	ENSG00000096080	ENSMMUG00000014749	ENSRNOG00000019511	ENSMUSG00000023967
ENSOCUG00000005548	ENSGALG00000049976	ENSG00000181754	ENSMMUG00000062157	ENSRNOG00000045665	ENSMUSG00000050947
ENSOCUG00000005549	ENSGALG00000004631	ENSG00000162490	ENSMMUG00000057353	ENSRNOG00000008911	ENSMUSG00000029005
ENSOCUG00000005551	ENSGALG00000034777	ENSG00000048707	ENSMMUG00000021449	ENSRNOG00000016443	ENSMUSG00000020220
ENSOCUG00000005553	ENSGALG00000041700	ENSG00000065135	ENSMMUG00000005818	ENSRNOG00000019465	ENSMUSG00000000001
ENSOCUG00000005557	ENSGALG00000008122	ENSG00000165915	ENSMMUG00000015607	ENSRNOG00000011981	ENSMUSG00000002105
ENSOCUG00000005559	ENSGALG00000009855	ENSG00000109436	ENSMMUG00000015246	ENSRNOG00000003496	ENSMUSG00000031709
ENSOCUG00000005560	ENSGALG00000038084	ENSG00000134183	ENSMMUG00000005819	ENSRNOG00000019296	ENSMUSG00000009108
ENSOCUG00000005561	ENSGALG00000000226	ENSG00000116857	ENSMMUG00000013500	ENSRNOG00000010204	ENSMUSG00000026411
ENSOCUG00000005562	ENSGALG00000011379	ENSG00000137968	ENSMMUG00000017907	ENSRNOG00000042332	ENSMUSG00000028360
ENSOCUG00000005563	ENSGALG00000008759	ENSG00000078081	ENSMMUG00000010555	ENSRNOG00000022792	ENSMUSG00000041247
ENSOCUG00000005564	ENSGALG00000005368	ENSG00000168944	ENSMMUG00000015767	ENSRNOG00000017035	ENSMUSG00000048799
ENSOCUG00000005569	ENSGALG00000032239	ENSG00000137880	ENSMMUG00000047091	ENSRNOG00000012290	ENSMUSG00000046814
ENSOCUG00000005571	ENSGALG00000005855	ENSG00000169239	ENSMMUG00000014052	ENSRNOG00000029330	ENSMUSG00000031373
ENSOCUG00000005572	ENSGALG00000003995	ENSG00000132591	ENSMMUG00000002776	ENSRNOG00000010673	ENSMUSG00000020832
ENSOCUG00000005573	ENSGALG00000036432	ENSG00000104129	ENSMMUG00000013160	ENSRNOG00000012368	ENSMUSG00000034278
ENSOCUG00000005576	ENSGALG00000004542	ENSG00000101040	ENSMMUG00000015710	ENSRNOG00000019154	ENSMUSG00000039671
ENSOCUG00000005577	ENSGALG00000040929	ENSG00000188277	ENSMMUG00000062039	ENSRNOG00000071065	ENSMUSG00000055926
ENSOCUG00000005581	ENSGALG00000002098	ENSG00000163873	ENSMMUG00000009679	ENSRNOG00000008992	ENSMUSG00000001985
ENSOCUG00000005582	ENSGALG00000008460	ENSG00000166140	ENSMMUG00000001723	ENSRNOG00000012528	ENSMUSG00000068580
ENSOCUG00000005584	ENSGALG00000042773	ENSG00000154978	ENSMMUG00000013015	ENSRNOG00000006646	ENSMUSG00000037788
ENSOCUG00000005585	ENSGALG00000009349	ENSG00000013293	ENSMMUG00000013987	ENSRNOG00000028097	ENSMUSG00000069072
ENSOCUG00000005590	ENSGALG00000015351	ENSG00000114423	ENSMMUG00000007565	ENSRNOG00000001982	ENSMUSG00000022637
ENSOCUG00000005592	ENSGALG00000011271	ENSG00000139329	ENSMMUG00000016995	ENSRNOG00000004610	ENSMUSG00000036446
ENSOCUG00000005602	ENSGALG00000004833	ENSG00000117385	ENSMMUG00000022381	ENSRNOG00000053991	ENSMUSG00000028641
ENSOCUG00000005605	ENSGALG00000013886	ENSG00000168675	ENSMMUG00000004032	ENSRNOG00000016879	ENSMUSG00000024544
ENSOCUG00000005610	ENSGALG00000013889	ENSG00000101654	ENSMMUG00000003485	ENSRNOG00000016698	ENSMUSG00000009535
ENSOCUG00000005614	ENSGALG00000017652	ENSG00000133985	ENSMMUG00000056365	ENSRNOG00000007254	ENSMUSG00000042734
ENSOCUG00000005616	ENSGALG00000003661	ENSG00000107290	ENSMMUG00000018468	ENSRNOG00000013491	ENSMUSG00000043535
ENSOCUG00000005619	ENSGALG00000000785	ENSG00000114378	ENSMMUG00000020121	ENSRNOG00000015858	ENSMUSG00000010051
ENSOCUG00000005620	ENSGALG00000009107	ENSG00000179915	ENSMMUG00000038179	ENSRNOG00000050220	ENSMUSG00000024109
ENSOCUG00000005621	ENSGALG00000007439	ENSG00000101166	ENSMMUG00000007560	ENSRNOG00000046644	ENSMUSG00000016257
ENSOCUG00000005624	ENSGALG00000006446	ENSG00000205531	ENSMMUG00000007753	ENSRNOG00000020615	ENSMUSG00000059119
ENSOCUG00000005627	ENSGALG00000007009	ENSG00000124160	ENSMMUG00000016555	ENSRNOG00000017824	ENSMUSG00000039804
ENSOCUG00000005631	ENSGALG00000007015	ENSG00000101017	ENSMMUG00000003683	ENSRNOG00000018488	ENSMUSG00000017652
ENSOCUG00000005634	ENSGALG00000029812	ENSG00000132698	ENSMMUG00000022306	ENSRNOG00000023640	ENSMUSG00000008601
ENSOCUG00000005638	ENSGALG00000000864	ENSG00000119402	ENSMMUG00000001646	ENSRNOG00000018687	ENSMUSG00000035949
ENSOCUG00000005640	ENSGALG00000014016	ENSG00000254726	ENSMMUG00000052160	ENSRNOG00000058654	ENSMUSG00000074480
ENSOCUG00000005642	ENSGALG00000041619	ENSG00000105887	ENSMMUG00000017108	ENSRNOG00000011857	ENSMUSG00000029840
ENSOCUG00000005644	ENSGALG00000001637	ENSG00000095261	ENSMMUG00000002213	ENSRNOG00000018809	ENSMUSG00000026869
ENSOCUG00000005645	ENSGALG00000030960	ENSG00000119283	ENSMMUG00000017449	ENSRNOG00000019024	ENSMUSG00000036913
ENSOCUG00000005647	ENSGALG00000016728	ENSG00000102218	ENSMMUG00000023018	ENSRNOG00000025428	ENSMUSG00000060090
ENSOCUG00000005648	ENSGALG00000041641	ENSG00000140382	ENSMMUG00000007430	ENSRNOG00000016905	ENSMUSG00000032329
ENSOCUG00000005652	ENSGALG00000006707	ENSG00000007952	ENSMMUG00000004178	ENSRNOG00000048706	ENSMUSG00000031257
ENSOCUG00000005655	ENSGALG00000015691	ENSG00000136824	ENSMMUG00000020463	ENSRNOG00000022325	ENSMUSG00000028312
ENSOCUG00000005656	ENSGALG00000005195	ENSG00000130703	ENSMMUG00000012623	ENSRNOG00000057756	ENSMUSG00000039050
ENSOCUG00000005658	ENSGALG00000009530	ENSG00000165966	ENSMMUG00000002641	ENSRNOG00000022844	ENSMUSG00000036218
ENSOCUG00000005659	ENSGALG00000001595	ENSG00000119403	ENSMMUG00000010623	ENSRNOG00000018874	ENSMUSG00000026873
ENSOCUG00000005661	ENSGALG00000006637	ENSG00000182489	ENSMMUG00000045191	ENSRNOG00000067363	ENSMUSG00000031258
ENSOCUG00000005662	ENSGALG00000041331	ENSG00000052749	ENSMMUG00000019634	ENSRNOG00000048495	ENSMUSG00000035049
ENSOCUG00000005666	ENSGALG00000010873	ENSG00000073737	ENSMMUG00000013835	ENSRNOG00000065735	ENSMUSG00000027068
ENSOCUG00000005673	ENSGALG00000001565	ENSG00000106804	ENSMMUG00000020124	ENSRNOG00000018899	ENSMUSG00000026874
ENSOCUG00000005675	ENSGALG00000044433	ENSG00000116898	ENSMMUG00000020433	ENSRNOG00000008279	ENSMUSG00000028861
ENSOCUG00000005676	ENSGALG00000013573	ENSG00000119523	ENSMMUG00000010662	ENSRNOG00000006369	ENSMUSG00000039740
ENSOCUG00000005685	ENSGALG00000010763	ENSG00000100815	ENSMMUG00000018319	ENSRNOG00000005292	ENSMUSG00000021188
ENSOCUG00000005689	ENSGALG00000033791	ENSG00000139625	ENSMMUG00000006613	ENSRNOG00000015134	ENSMUSG00000023050
ENSOCUG00000005692	ENSGALG00000009021	ENSG00000117069	ENSMMUG00000005994	ENSRNOG00000049676	ENSMUSG00000039037
ENSOCUG00000005695	ENSGALG00000009015	ENSG00000142892	ENSMMUG00000020217	ENSRNOG00000042359	ENSMUSG00000039047
ENSOCUG00000005700	ENSGALG00000038939	ENSG00000139546	ENSMMUG00000018492	ENSRNOG00000042355	ENSMUSG00000023051
ENSOCUG00000005702	ENSGALG00000008659	ENSG00000165996	ENSMMUG00000020736	ENSRNOG00000043192	ENSMUSG00000063275
ENSOCUG00000005708	ENSGALG00000000364	ENSG00000159167	ENSMMUG00000046186	ENSRNOG00000015075	ENSMUSG00000014813
ENSOCUG00000005709	ENSGALG00000017304	ENSG00000165434	ENSMMUG00000017402	ENSRNOG00000017079	ENSMUSG00000030729
ENSOCUG00000005711	ENSGALG00000014648	ENSG00000153140	ENSMMUG00000020180	ENSRNOG00000050877	ENSMUSG00000021537
ENSOCUG00000005713	ENSGALG00000010783	ENSG00000165934	ENSMMUG00000000699	ENSRNOG00000005733	ENSMUSG00000041781
ENSOCUG00000005714	ENSGALG00000005637	ENSG00000107862	ENSMMUG00000002985	ENSRNOG00000026048	ENSMUSG00000025224
ENSOCUG00000005716	ENSGALG00000012593	ENSG00000197506	ENSMMUG00000008685	ENSRNOG00000018853	ENSMUSG00000021553
ENSOCUG00000005719	ENSGALG00000032234	ENSG00000198060	ENSMMUG00000004816	ENSRNOG00000017396	ENSMUSG00000023307
ENSOCUG00000005721	ENSGALG00000001416	ENSG00000170214	ENSMMUG00000050043	ENSRNOG00000060087	ENSMUSG00000050541
ENSOCUG00000005722	ENSGALG00000010902	ENSG00000172292	ENSMMUG00000043509	ENSRNOG00000024595	ENSMUSG00000027035
ENSOCUG00000005723	ENSGALG00000037872	ENSG00000119778	ENSMMUG00000020952	ENSRNOG00000058973	ENSMUSG00000052812
ENSOCUG00000005724	ENSGALG00000001429	ENSG00000113312	ENSMMUG00000011471	ENSRNOG00000003980	ENSMUSG00000041278
ENSOCUG00000005726	ENSGALG00000002605	ENSG00000158042	ENSMMUG00000004544	ENSRNOG00000019497	ENSMUSG00000030879
ENSOCUG00000005729	ENSGALG00000010806	ENSG00000100599	ENSMMUG00000029233	ENSRNOG00000007062	ENSMUSG00000044456
ENSOCUG00000005734	ENSGALG00000000638	ENSG00000141076	ENSMMUG00000022841	ENSRNOG00000020333	ENSMUSG00000041438
ENSOCUG00000005735	ENSGALG00000005653	ENSG00000077150	ENSMMUG00000002990	ENSRNOG00000019311	ENSMUSG00000025225
ENSOCUG00000005736	ENSGALG00000014881	ENSG00000111879	ENSMMUG00000013302	ENSRNOG00000026407	ENSMUSG00000019856
ENSOCUG00000005737	ENSGALG00000010811	ENSG00000100600	ENSMMUG00000013966	ENSRNOG00000007089	ENSMUSG00000021190
ENSOCUG00000005741	ENSGALG00000035699	ENSG00000145495	ENSMMUG00000009758	ENSRNOG00000011066	ENSMUSG00000039100
ENSOCUG00000005742	ENSGALG00000055000	ENSG00000151364	ENSMMUG00000017471	ENSRNOG00000012494	ENSMUSG00000051727
ENSOCUG00000005749	ENSGALG00000023294	ENSG00000089157	ENSMMUG00000009152	ENSRNOG00000001148	ENSMUSG00000067274
ENSOCUG00000005753	ENSGALG00000013006	ENSG00000145491	ENSMMUG00000060969	ENSRNOG00000042781	ENSMUSG00000022236
ENSOCUG00000005755	ENSGALG00000014974	ENSG00000101752	ENSMMUG00000055822	ENSRNOG00000013281	ENSMUSG00000024294
ENSOCUG00000005756	ENSGALG00000005815	ENSG00000166471	ENSMMUG00000005639	ENSRNOG00000010752	ENSMUSG00000047554
ENSOCUG00000005758	ENSGALG00000052743	ENSG00000188042	ENSMMUG00000011516	ENSRNOG00000069663	ENSMUSG00000049866
ENSOCUG00000005760	ENSGALG00000010406	ENSG00000165548	ENSMMUG00000001092	ENSRNOG00000011334	ENSMUSG00000034145
ENSOCUG00000005764	ENSGALG00000005684	ENSG00000107872	ENSMMUG00000056510	ENSRNOG00000019509	ENSMUSG00000025226
ENSOCUG00000005767	ENSGALG00000002960	ENSG00000134240	ENSMMUG00000023097	ENSRNOG00000019120	ENSMUSG00000027875
ENSOCUG00000005768	ENSGALG00000010052	ENSG00000092020	ENSMMUG00000003530	ENSRNOG00000023591	ENSMUSG00000021022
ENSOCUG00000005769	ENSGALG00000037492	ENSG00000102858	ENSMMUG00000001888	ENSRNOG00000003234	ENSMUSG00000022517
ENSOCUG00000005770	ENSGALG00000008039	ENSG00000138111	ENSMMUG00000011948	ENSRNOG00000019674	ENSMUSG00000025227
ENSOCUG00000005771	ENSGALG00000010413	ENSG00000165553	ENSMMUG00000048130	ENSRNOG00000011719	ENSMUSG00000021032
ENSOCUG00000005773	ENSGALG00000002931	ENSG00000134193	ENSMMUG00000060387	ENSRNOG00000019046	ENSMUSG00000027876
ENSOCUG00000005774	ENSGALG00000015112	ENSG00000198795	ENSMMUG00000008600	ENSRNOG00000016874	ENSMUSG00000024420
ENSOCUG00000005775	ENSGALG00000003503	ENSG00000101057	ENSMMUG00000018137	ENSRNOG00000007805	ENSMUSG00000017861
ENSOCUG00000005776	ENSGALG00000041962	ENSG00000009830	ENSMMUG00000001095	ENSRNOG00000012146	ENSMUSG00000034126
ENSOCUG00000005777	ENSGALG00000012677	ENSG00000145996	ENSMMUG00000007954	ENSRNOG00000018381	ENSMUSG00000006191
ENSOCUG00000005778	ENSGALG00000009002	ENSG00000106034	ENSMMUG00000002435	ENSRNOG00000021840	ENSMUSG00000062980
ENSOCUG00000005779	ENSGALG00000008086	ENSG00000138107	ENSMMUG00000011949	ENSRNOG00000019725	ENSMUSG00000025228
ENSOCUG00000005781	ENSGALG00000008096	ENSG00000107882	ENSMMUG00000004396	ENSRNOG00000019807	ENSMUSG00000025231
ENSOCUG00000005785	ENSGALG00000043209	ENSG00000121753	ENSMMUG00000023401	ENSRNOG00000014375	ENSMUSG00000028782
ENSOCUG00000005786	ENSGALG00000036785	ENSG00000171206	ENSMMUG00000004394	ENSRNOG00000019968	ENSMUSG00000025034
